patient,Greetings! How can I help?,2024-12-02 20:42:50
hi,Greetings! How can I help?,2024-12-02 20:42:54
patien,Hello! How can I assist you today?,2024-12-02 20:43:29
patie,Greetings! How can I help?,2024-12-02 20:43:32
doctor,Greetings! How can I help?,2024-12-02 20:43:43
doctor,Greetings! How can I help?,2024-12-02 20:43:56
doctor,Hi there! What can I do for you?,2024-12-02 20:43:59
docto,Greetings! How can I help?,2024-12-02 20:44:01
doct,Hello! How can I assist you today?,2024-12-02 20:44:05
booking,Hi there! What can I do for you?,2024-12-02 20:44:25
patient,Our visiting hours are 5am to 12pm. Please adhere to hospital policies during your visit.,2024-12-02 20:45:30
hi,Drink plenty of water and exercise regularly.,2024-12-02 20:45:38
hello,Stay active and avoid stress.,2024-12-02 20:45:45
booking,Maintain a balanced diet and get enough sleep.,2024-12-02 20:45:53
appointment,"Sure, I can help with that. Which doctor would you like to see?",2024-12-02 20:46:18
doctor,Dr. Gupta is available on Mon-Sat. Would you like to book an appointment?,2024-12-02 20:46:27
hi,Maintain a balanced diet and get enough sleep.,2024-12-02 21:30:31
doctor,Dr. Gupta is available on Mon-Sat. Would you like to book an appointment?,2024-12-02 21:30:41
